run_idx,status,exit_code,seed,device,batch_size,learner.momentum,learner.opt,learner.step_size,learner.weight_decay,epoch_loss,epoch_accuracy
0,ok,0,392468287,cuda:0,128,0.0,sgd,0.1,0.0,0.02053402916416526,0.9937833333333334
1,ok,0,1474252800,cuda:1,256,0.0,sgd,0.1,0.0,0.021619761739671232,0.9933166666666666
2,ok,0,28341272,cuda:0,128,0.0,adam,0.1,0.0,0.020005582231283188,0.9936666666666667
3,ok,0,1343386326,cuda:1,256,0.0,adam,0.1,0.0,0.02026211574524641,0.9934833333333334
4,ok,0,1470104680,cuda:0,128,0.9,sgd,0.1,0.0,0.020415629793703555,0.99385
5,ok,0,824537248,cuda:1,256,0.9,sgd,0.1,0.0,0.019222954205671945,0.9941333333333333
6,ok,0,1578817378,cuda:0,128,0.0,sgd,0.1,0.001,0.020895539768536885,0.9937
7,ok,0,1670662516,cuda:1,256,0.0,sgd,0.1,0.001,0.01827857348124186,0.99455
9,ok,0,1726965213,cuda:1,256,0.0,adam,0.1,0.001,0.021683370232582093,0.9936333333333334
8,ok,0,1200998996,cuda:0,128,0.0,adam,0.1,0.001,0.020873858067641655,0.9937333333333334
10,ok,0,1187381603,cuda:0,128,0.9,sgd,0.1,0.001,0.019967891706029573,0.9937833333333334
11,ok,0,1575071123,cuda:1,256,0.9,sgd,0.1,0.001,0.021299596147735914,0.9934166666666666
12,ok,0,895124903,cuda:0,128,0.0,sgd,0.1,0.01,0.02103200955092907,0.99335
13,ok,0,2011564820,cuda:1,256,0.0,sgd,0.1,0.01,0.02124995989551147,0.9933333333333333
14,ok,0,155348692,cuda:0,128,0.0,adam,0.1,0.01,0.02253133982469638,0.9929
15,ok,0,363326334,cuda:1,256,0.0,adam,0.1,0.01,0.020290269115567208,0.9938166666666667
16,ok,0,1347641946,cuda:0,128,0.9,sgd,0.1,0.01,0.02026488850414753,0.9937333333333334
17,ok,0,1568387327,cuda:1,256,0.9,sgd,0.1,0.01,0.021141315112262964,0.99305
18,ok,0,1165279761,cuda:0,128,0.0,sgd,0.01,0.0,0.020774282447000345,0.9938833333333333
19,ok,0,1559571471,cuda:1,256,0.0,sgd,0.01,0.0,0.02114086549282074,0.9936166666666667
20,ok,0,322705554,cuda:0,128,0.0,adam,0.01,0.0,0.020323702395955722,0.9937
21,ok,0,356092298,cuda:1,256,0.0,adam,0.01,0.0,0.02025607737203439,0.9939333333333333
22,ok,0,128089885,cuda:0,128,0.9,sgd,0.01,0.0,0.021860081572333972,0.9934333333333333
23,ok,0,311371363,cuda:1,256,0.9,sgd,0.01,0.0,0.020193270173793038,0.9938833333333333
25,ok,0,630991684,cuda:1,256,0.0,sgd,0.01,0.001,0.020562333413710197,0.99355
24,ok,0,1101588821,cuda:0,128,0.0,sgd,0.01,0.001,0.019939986194173497,0.9939833333333333
26,ok,0,1701730363,cuda:0,128,0.0,adam,0.01,0.001,0.020981862937907377,0.99335
27,ok,0,1724807515,cuda:1,256,0.0,adam,0.01,0.001,0.021317129168659448,0.9935
28,ok,0,526881298,cuda:0,128,0.9,sgd,0.01,0.001,0.021284677012761433,0.9934666666666667
29,ok,0,1735021353,cuda:1,256,0.9,sgd,0.01,0.001,0.020682916474342346,0.99375
30,ok,0,409244541,cuda:0,128,0.0,sgd,0.01,0.01,0.021483849188685417,0.9934166666666666
31,ok,0,151188641,cuda:1,256,0.0,sgd,0.01,0.01,0.020674401206771532,0.9937333333333334
32,ok,0,1743815946,cuda:0,128,0.0,adam,0.01,0.01,0.021567889414230983,0.9930666666666667
33,ok,0,2013864389,cuda:1,256,0.0,adam,0.01,0.01,0.019473846767346065,0.9939
34,ok,0,73061825,cuda:0,128,0.9,sgd,0.01,0.01,0.020743532027800878,0.9933833333333333
35,ok,0,1800192865,cuda:1,256,0.9,sgd,0.01,0.01,0.020299840822319188,0.9936166666666667
36,ok,0,526379063,cuda:0,128,0.0,sgd,0.001,0.0,0.019676010981202127,0.99445
37,ok,0,213107608,cuda:1,256,0.0,sgd,0.001,0.0,0.019884282486140728,0.9939666666666667
39,ok,0,1781804783,cuda:1,256,0.0,adam,0.001,0.0,0.021044136829177537,0.99345
38,ok,0,244300129,cuda:0,128,0.0,adam,0.001,0.0,0.020159052227934203,0.9938166666666667
40,ok,0,1644709243,cuda:0,128,0.9,sgd,0.001,0.0,0.022019303516546886,0.9931666666666666
41,ok,0,2055585049,cuda:1,256,0.9,sgd,0.001,0.0,0.021244119888544084,0.9933166666666666
42,ok,0,560458854,cuda:0,128,0.0,sgd,0.001,0.001,0.019517454693218073,0.9941833333333333
43,ok,0,1393569847,cuda:1,256,0.0,sgd,0.001,0.001,0.02067190383374691,0.9937666666666667
44,ok,0,2052275735,cuda:0,128,0.0,adam,0.001,0.001,0.01973432885284225,0.9941333333333333
45,ok,0,1239718145,cuda:1,256,0.0,adam,0.001,0.001,0.021877959633866947,0.9932166666666666
46,ok,0,1215928162,cuda:0,128,0.9,sgd,0.001,0.001,0.0217399415264527,0.9933666666666666
47,ok,0,935440607,cuda:1,256,0.9,sgd,0.001,0.001,0.02128871758977572,0.9932166666666666
48,ok,0,900019722,cuda:0,128,0.0,sgd,0.001,0.01,0.02031342733949423,0.99395
49,ok,0,1793855094,cuda:1,256,0.0,sgd,0.001,0.01,0.020950833631058534,0.9935666666666667
50,ok,0,1968897620,cuda:0,128,0.0,adam,0.001,0.01,0.02029081007540226,0.9939833333333333
51,ok,0,1528917964,cuda:1,256,0.0,adam,0.001,0.01,0.020055113622546195,0.9937666666666667
53,ok,0,1204380844,cuda:1,256,0.9,sgd,0.001,0.01,0.020999624902506668,0.9936833333333334
52,ok,0,2006074290,cuda:0,128,0.9,sgd,0.001,0.01,0.020988613574703534,0.9935
